2025-12-22 19:11:20.307 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.312 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.315 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.318 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.321 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.325 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.328 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.331 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.333 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.336 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.506 | INFO     | core.model.rag.rag_pipeline:consumer:235 | 已经获取向量表示
2025-12-22 19:11:20.510 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.514 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.518 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.534 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.546 | INFO     | core.model.rag.rag_pipeline:consumer:235 | 已经获取向量表示
2025-12-22 19:11:20.549 | INFO     | core.model.rag.rag_pipeline:consumer:235 | 已经获取向量表示
2025-12-22 19:11:20.550 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.553 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.556 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.559 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.562 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.564 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.567 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.570 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.572 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.575 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.577 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.580 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.583 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.585 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.588 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.590 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.593 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.596 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.599 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.602 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.604 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.607 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
2025-12-22 19:11:20.610 | INFO     | core.model.rag.rag_pipeline:write_data:145 | 已写入文件
